0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:13 +0900] "GET /semi_team/css/ms_sans_serif.woff2 HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:13 +0900] "GET /semi_team/mypageMain.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:13 +0900] "GET /semi_team/mypageMain.jsp HTTP/1.1" 200 316992
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:14 +0900] "GET /semi_team/playList.jsp HTTP/1.1" 200 184306
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:14 +0900] "GET /semi_team/img/Save.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:14 +0900] "GET /semi_team/css/ms_sans_serif_bold.woff2 HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:14 +0900] "GET /semi_team/css/ms_sans_serif.woff2 HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:14 +0900] "GET /semi_team/music_search.jsp HTTP/1.1" 200 4327
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:14 +0900] "GET /semi_team/music_search.jsp HTTP/1.1" 200 4327
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:14 +0900] "GET /semi_team/css/ms_sans_serif.woff2 HTTP/1.1" 404 848
